uid,prediction
u000009,"i000207,i000521,i000554,i000619,i001240,i000481,i001455,i001952,i001069,i000956"
u000014,"i000832,i001069,i000720,i000481,i000999,i001710,i000207,i001922,i000521,i001673"
u000022,"i001922,i000481,i001455,i001069,i000554,i000661,i000842,i000909,i001673,i001143"
u000024,"i001952,i000481,i001069,i000661,i000909,i001455,i001663,i000521,i001046,i000646"
u000026,"i000481,i000909,i001069,i001952,i001663,i000661,i000521,i000207,i001038,i000646"
u000040,"i001922,i000481,i001455,i000521,i000109,i001952,i000554,i000661,i000909,i001046"
u000054,"i001952,i001069,i000481,i000661,i000554,i001455,i000521,i001663,i000619,i001922"
u000059,"i000481,i001445,i000207,i001455,i000109,i000695,i001046,i001069,i000909,i000554"
u000067,"i000909,i001455,i001663,i000555,i001682,i000720,i001335,i001673,i000560,i001875"
u000068,"i001922,i000207,i000619,i000481,i001952,i001069,i000646,i001949,i001649,i001819"
u000077,"i001038,i000481,i001952,i000909,i001069,i000554,i001445,i000563,i001314,i001663"
u000088,"i000207,i001331,i001143,i000282,i000909,i000324,i001952,i001922,i001930,i001267"
u000092,"i001922,i000207,i000481,i001296,i001952,i000695,i001069,i000248,i001143,i000324"
u000102,"i000554,i000481,i001069,i001952,i000521,i000158,i000947,i000207,i000570,i001663"
u000117,"i001069,i001952,i000619,i000481,i000554,i000909,i001143,i000207,i001240,i000646"
u000132,"i001922,i000481,i001069,i000554,i000521,i001663,i000207,i000909,i000661,i000342"
u000135,"i000909,i000481,i001069,i001952,i001478,i001922,i000521,i001663,i000342,i000109"
u000155,"i001922,i001069,i000909,i000481,i000521,i001663,i001952,i001038,i001445,i000947"
u000159,"i000481,i001046,i001952,i001069,i000909,i001663,i000661,i000521,i001445,i001478"
u000160,"i001952,i001922,i000554,i000619,i001663,i001240,i000481,i001049,i001069,i000695"
u000162,"i000909,i001922,i000661,i000342,i000977,i000481,i001952,i000207,i000521,i000554"
u000164,"i001922,i000207,i000619,i000481,i001069,i001914,i001952,i001455,i000554,i001884"
u000168,"i001952,i000481,i001445,i001922,i001069,i001143,i000521,i001673,i001455,i000619"
u000171,"i000909,i000481,i001069,i000521,i001952,i000342,i000661,i001663,i000324,i001445"
u000178,"i000898,i000555,i000324,i001069,i000909,i000110,i000327,i000521,i000481,i001952"
u000180,"i001922,i001143,i000481,i001069,i000909,i001952,i000342,i000521,i000207,i001663"
u000192,"i000481,i000909,i000324,i001688,i000555,i001038,i001049,i000058,i001143,i001710"
u000194,"i000251,i001462,i001069,i000481,i000909,i001952,i000521,i001445,i000695,i000661"
u000205,"i000619,i000481,i001069,i000909,i001952,i001240,i000695,i000521,i000058,i001922"
u000212,"i000207,i000521,i000619,i001952,i001914,i000324,i001069,i000481,i001673,i000909"
u000214,"i000555,i000324,i000909,i000898,i000110,i000327,i000521,i000481,i001952,i000977"
u000224,"i000695,i000058,i001584,i001688,i001049,i001240,i001922,i001462,i000324,i000481"
u000225,"i000207,i000521,i001069,i000695,i000481,i000058,i000909,i000570,i001049,i001445"
u000227,"i000619,i000695,i001240,i001049,i000909,i000058,i001688,i001922,i001952,i000207"
u000229,"i001922,i001143,i001069,i000481,i001952,i000909,i000109,i001478,i000518,i001296"
u000231,"i000909,i000207,i000481,i001069,i000931,i001952,i000619,i000661,i001569,i001976"
u000233,"i000909,i001663,i000481,i001069,i000554,i000695,i000555,i001952,i000521,i001922"
u000234,"i000555,i000324,i000909,i000898,i000110,i000327,i000521,i000481,i001952,i001069"
u000243,"i001922,i001240,i000481,i001875,i001455,i000646,i000909,i001191,i000521,i001143"
u000247,"i000481,i001069,i000909,i001038,i000521,i000619,i001884,i000342,i001331,i001663"
u000257,"i000909,i000207,i001922,i001952,i000481,i001069,i001663,i001143,i000661,i001267"
u000259,"i001922,i001143,i000481,i000207,i000909,i001069,i001584,i000342,i001952,i000947"
u000260,"i001710,i001143,i001455,i001952,i001673,i000521,i000554,i000661,i000909,i001445"
u000263,"i001922,i000481,i001952,i001069,i001914,i000646,i000207,i000909,i001949,i001219"
u000272,"i001922,i000481,i001069,i000909,i000207,i001663,i001952,i000109,i001038,i001673"
u000281,"i000909,i001038,i000342,i001649,i000518,i000301,i000782,i000481,i001069,i001952"
u000286,"i001143,i000619,i001069,i000909,i000481,i000207,i001952,i001875,i001673,i001455"
u000292,"i000909,i000481,i001069,i001143,i001673,i000661,i000207,i001455,i001191,i001710"
u000297,"i000554,i000619,i001069,i001952,i001191,i001038,i000481,i001914,i001143,i000646"
u000302,"i001143,i000481,i001087,i001914,i001455,i001922,i001069,i001682,i001717,i002130"
u000307,"i001143,i001069,i000481,i000555,i001663,i000207,i001922,i000619,i001801,i000947"
u000308,"i000646,i000481,i001663,i001069,i001952,i000909,i000661,i000521,i001038,i001445"
u000309,"i000555,i000324,i000909,i000898,i000110,i000327,i000521,i000481,i001952,i001069"
u000321,"i000481,i001069,i000109,i001952,i001682,i001445,i000485,i001240,i000661,i001673"
u000331,"i001069,i000301,i000481,i000909,i001753,i000931,i000947,i001952,i001508,i001455"
u000335,"i001922,i000481,i001069,i001952,i000342,i001455,i001884,i000909,i000661,i001816"
u000350,"i001952,i000481,i001069,i000661,i000909,i001455,i001663,i000521,i001046,i000646"
u000355,"i000554,i000619,i001069,i000481,i000485,i001952,i000909,i000301,i001455,i001260"
u000358,"i000909,i001922,i000619,i001997,i001688,i001445,i000554,i000058,i001319,i001914"
